Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
fbcd38c463caf7ad040c34ef0327037399cfe1a2,"[svn] fixed bug with caching into same directory if the searchpath was relative

--HG--
branch : trunk",['ce513f26683207df996de03b4208d7d40186962c'],False,['jinja\\loaders.py']
25d3322c4bdb8389b91a2c340b455ca2dfa8dcf3,"[svn] Fix a few typos.

--HG--
branch : trunk",['8030a17e68c530e58c967db9a1d85e8f78f1bd86'],False,['docs\\src\\inheritance.txt']
d34b4e3e949d28874497ffa778e60e17f9d0576a,"[svn] fixed bug in iteration over none

--HG--
branch : trunk",['4d844a1c2e11d10980fd643efa1da618a0825977'],False,['jinja\\datastructure.py']
720e55b2962d6c3b5f34d77e8b4b537156692b2e,"[svn] fixed a lexer error reporting issue

--HG--
branch : trunk",['63ca7211e991542c35c6d18d90fdaff57c6fea11'],False,['jinja\\lexer.py']
4f4c246d423c5969512a19bad5ed1036a3121329,"[svn] Fix _debugger module.

--HG--
branch : trunk",['a17a65a5c012327d2bfff047aa3dddfb730fadd6'],False,['jinja\\_debugger.c']
378d0224af38709abc37439a82b1f8a619edead8,"[svn] Fix 2.4ism.

--HG--
branch : trunk",['4f4c246d423c5969512a19bad5ed1036a3121329'],False,['jinja\\_debugger.c']
56e20cf5c11339459e0ad5d528243504478ed4e2,"[svn] fixed bug in the template streaming interface

--HG--
branch : trunk",['69ddc5854d8a61dcbfb0bae1121ff855cb8bcf75'],False,['jinja\\datastructure.py']
fde3ff2642e199acccebe314cf4b2316f896c30e,"[svn] Fix a rst hyperlink.

--HG--
branch : trunk",['653dd646dfa20c34211d3ada9ca87c07668d595d'],False,['jinja\\filters.py']
306971d9a2ffe509292d51d760b4e637d86ac41a,"fixed bug in jinja doc

--HG--
branch : trunk",['e71966dbca54a47376b6fb7527a7c691273dfdee'],False,['docs\\src\\scopes.txt']
f5f8ffc8a269d50d709468382132a624f0cea7bc,"fixed bug in jinja filter parser (why the fuck was there no unittest for that??) XXX: add unittest

--HG--
branch : trunk",['306971d9a2ffe509292d51d760b4e637d86ac41a'],False,['jinja\\parser.py']
